"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"16678","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","CASTILLA Y LEÓN","Unknown",2018-09-21,"PARCIAL","LEÓN",12000,8000,"AGRICULTURA/GANADERÍA"
"16679","FÁBRICAS/INDUSTRIA","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-21,"COMPLETA","GUADALAJARA",1000,800,"PEONES/OPERARIOS/MANIPULADORES"
"16681","FÁBRICAS/INDUSTRIA","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-21,"COMPLETA","BARCELONA",30000,30000,"ENCARGADOS Y SUPERVISORES DE PRODUCCIÓN"
"16682","METAL/MECÁNICA","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-21,"INDIFERENTE","TARRAGONA",1200,600,"MECÁNICA/MANTENIMIENTO"
"16683","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP II, Ciclo de Grado Superior",2018-09-21,"COMPLETA","MADRID",1600,1400,"ANALISTAS/PROGRAMADORES"
"16684","COMERCIAL/VENTAS","CATALUÑA","Bachillerato",2018-09-21,"PARCIAL","BARCELONA",930,620,"VENDEDORES"
"16685","METAL/MECÁNICA","ANDALUCÍA","Unknown",2018-09-21,"INDIFERENTE","JAÉN",1400,900,"SOLDADURA/CALDERERÍA/CHAPA"
"16686","HOSTELERÍA/TURISMO","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-21,"PARCIAL","VALENCIA",700,700,"CAMAREROS"
"16687","COMERCIAL/VENTAS","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-09-21,"INDIFERENTE","CÁDIZ",800,400,"COMERCIO EXTERIOR"
"16688","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-09-20,"COMPLETA","CASTELLÓN",18000,15000,"ADMINISTRATIVOS"
"16689","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","Estudios primarios",2018-09-21,"COMPLETA","MADRID",1400,1100,"PRODUCCIÓN Y DISTRIBUCCIÓN DE ENERGIA"
"16691","FÁBRICAS/INDUSTRIA","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-21,"COMPLETA","BARCELONA",22000,22000,"ENCARGADOS Y SUPERVISORES DE PRODUCCIÓN"
"16692","FÁBRICAS/INDUSTRIA","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-21,"COMPLETA","BARCELONA",24000,24000,"TECNICOS METALURGICOS"
"16693","COMERCIAL/VENTAS","ANDALUCÍA","Estudios primarios",2018-09-21,"PARCIAL","CÁDIZ",1500,600,"VENDEDORES"
"16694","ADMINISTRACIÓN","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-21,"COMPLETA","TOLEDO",850,750,"ADMINISTRATIVOS"
"16695","HOSTELERÍA/TURISMO","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-09-21,"COMPLETA","MÁLAGA",900,900,"RECEPCIONISTAS DE HOTEL"
"16696","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ARAGÓN","FP I, Ciclo de Grado Medio",2018-09-21,"COMPLETA","ZARAGOZA",23000,18000,"ELECTRICIDAD"
"16698","INGENIERÍA/CALIDAD/CIENCIAS","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-21,"COMPLETA","BARCELONA",25000,18000,"OTRAS ACTIVIDADES TÉCNICAS"
"16699","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-09-21,"PARCIAL","MADRID",12000,9000,"ADMINISTRATIVOS"
"16700","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-09-21,"COMPLETA","BARCELONA",1600,1600,"ELECTRÓNICA"
"16701","FÁBRICAS/INDUSTRIA","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-21,"COMPLETA","BARCELONA",21000,21000,"TECNICOS METALURGICOS"
"16702","CONSTRUCCIÓN","ANDALUCÍA","Unknown",2018-09-21,"COMPLETA","GRANADA",8,8,"PEONES"
"16703","CONSTRUCCIÓN","ILLES BALEARS","Sin estudios",2018-09-21,"COMPLETA","BALEARS (ILLES)",1600,1300,"TECNICOS EN CONSTRUCCION"
"16705","CONDUCTORES/TRANSPORTE","REGIÓN DE MURCIA","Sin estudios",2018-09-21,"INDIFERENTE","MURCIA",1200,500,"REPARTO DE MERCANCÍAS"
"16706","CUIDADOS/ASISTENCIA EN EL HOGAR","MADRID","Unknown",2018-09-17,"COMPLETA","MADRID",860,800,"CUIDADO DE ANCIANOS/NIÑOS"
"16707","ALMACENES/REPONEDORES","CATALUÑA","Unknown",2018-09-21,"COMPLETA","BARCELONA",20000,15000,"GESTIÓN DE ALMACENES"
"16708","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-09-21,"COMPLETA","BARCELONA",1900,1900,"ELECTRÓNICA"
"16709","HOSTELERÍA/TURISMO","CASTILLA LA MANCHA","Sin estudios",2018-09-10,"PARCIAL","CIUDAD REAL",800,700,"CAMAREROS"
"16710","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-21,"COMPLETA","VALENCIA",1250,1100,"ALBAÑILERIA/ACABADOS"
"16711","FÁBRICAS/INDUSTRIA","CATALUÑA","Unknown",2018-09-21,"COMPLETA","BARCELONA",15000,12000,"PEONES/OPERARIOS/MANIPULADORES"
"16712","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-09-20,"COMPLETA","ALICANTE",18000,15000,"ADMINISTRATIVOS"
"16713","COMERCIAL/VENTAS","Unknown","FP II, Ciclo de Grado Superior",2018-09-21,"COMPLETA","Unknown",50000,30000,"VENDEDORES"
"16762","HOSTELERÍA/TURISMO","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-22,"PARCIAL","BARCELONA",863,863,"CAMAREROS"
"16882","METAL/MECÁNICA","CASTILLA LA MANCHA","Unknown",2018-09-20,"COMPLETA","TOLEDO",1500,1000,"MECÁNICA/MANTENIMIENTO"
"16883","METAL/MECÁNICA","LA RIOJA","FP II, Ciclo de Grado Superior",2018-09-20,"COMPLETA","RIOJA (LA)",1800,1400,"MECÁNICA/MANTENIMIENTO"
"16884","COMERCIAL/VENTAS","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CUENCA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16885","COMERCIAL/VENTAS","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","GUADALAJARA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16886","METAL/MECÁNICA","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-20,"COMPLETA","BARCELONA",21000,18000,"MECÁNICA/MANTENIMIENTO"
"16887","COMERCIAL/VENTAS","REGIÓN DE MURCIA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","MURCIA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16888","COMERCIAL/VENTAS","GALICIA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","OURENSE",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16889","COMERCIAL/VENTAS","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","TOLEDO",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16890","COMERCIAL/VENTAS","CASTILLA Y LEÓN","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","VALLADOLID",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16891","COMERCIAL/VENTAS","MADRID","ESO, EGB, Graduado Escolar",2018-09-20,"PARCIAL","MADRID",690,690,"VENDEDORES"
"16892","HOSTELERÍA/TURISMO","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","SEVILLA",1200,900,"COCINEROS"
"16893","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","GRANADA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16894","COMERCIAL/VENTAS","ISLAS CANARIAS","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","SANTA CRUZ DE TENERIFE",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16895","SALUD/DEPORTE","MADRID","Estudios primarios",2018-09-20,"COMPLETA","MADRID",1100,800,"ENFERMERÍA"
"16896","METAL/MECÁNICA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-09-20,"COMPLETA","BARCELONA",21000,18000,"SOLDADURA/CALDERERÍA/CHAPA"
"16897","COMERCIAL/VENTAS","CANTABRIA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CANTABRIA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16898","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","MÁLAGA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16899","COMERCIAL/VENTAS","MADRID","ESO, EGB, Graduado Escolar",2018-09-20,"PARCIAL","MADRID",1200,900,"VENDEDORES"
"16900","FÁBRICAS/INDUSTRIA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-09-20,"PARCIAL","BARCELONA",1000,800,"PEONES/OPERARIOS/MANIPULADORES"
"16901","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","SEVILLA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16902","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","TARRAGONA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16903","FÁBRICAS/INDUSTRIA","CANTABRIA","Sin estudios",2018-09-20,"COMPLETA","CANTABRIA",14000,10000,"PEONES/OPERARIOS/MANIPULADORES"
"16904","COMERCIAL/VENTAS","GALICIA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","PONTEVEDRA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16905","INGENIERÍA/CALIDAD/CIENCIAS","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","Unknown",15000,1000,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
"16906","COMERCIAL/VENTAS","CANTABRIA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CANTABRIA",1000,0,"VENDEDORES"
"16907","METAL/MECÁNICA","PAÍS VASCO","Unknown",2018-09-20,"COMPLETA","ÁLAVA",1600,1400,"SOLDADURA/CALDERERÍA/CHAPA"
"16908","CONSTRUCCIÓN","ANDALUCÍA","Unknown",2018-09-20,"COMPLETA","GRANADA",1300,1300,"CARPINTERÍA"
"16909","COMERCIAL/VENTAS","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-20,"INDIFERENTE","ALBACETE",36000,30000,"VENDEDORES"
"16910","COMERCIAL/VENTAS","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-20,"INDIFERENTE","ALICANTE",36000,30000,"VENDEDORES"
"16911","HOSTELERÍA/TURISMO","REGIÓN DE MURCIA","Unknown",2018-09-20,"COMPLETA","MURCIA",950,850,"COCINEROS"
"16912","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CÁDIZ",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16913","METAL/MECÁNICA","ANDALUCÍA","Otras Formaciones",2018-09-20,"COMPLETA","ALMERÍA",2000,1400,"MECÁNICA/MANTENIMIENTO"
"16914","COMERCIAL/VENTAS","COMUNIDAD VALENCIANA","Unknown",2018-09-20,"INDIFERENTE","VALENCIA",3000,750,"AGENTES COMERCIALES/REPRESENTANTES"
"16915","INGENIERÍA/CALIDAD/CIENCIAS","CATALUÑA","Diplomado o Ingeniero Técnico",2018-09-20,"COMPLETA","BARCELONA",30000,25000,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
"16916","DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES","MADRID","Licenciado o Ingeniero Superior",2018-09-20,"COMPLETA","MADRID",2500,2000,"ABOGADOS"
"16917","CONDUCTORES/TRANSPORTE","ISLAS CANARIAS","Sin estudios",2018-09-18,"COMPLETA","SANTA CRUZ DE TENERIFE",1200,1100,"REPARTO DE MERCANCÍAS"
"16918","COMERCIAL/VENTAS","GALICIA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CORUÑA (A)",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16919","COMERCIAL/VENTAS","PAÍS VASCO","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","VIZCAYA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16920","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","GRANADA",36000,30000,"VENDEDORES"
"16921","COMERCIAL/VENTAS","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CASTELLÓN",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16922","COMERCIAL/VENTAS","MADRID","Sin estudios",2018-09-12,"COMPLETA","MADRID",3600,1200,"AGENTES COMERCIALES/REPRESENTANTES"
"16923","COMERCIAL/VENTAS","MADRID","Sin estudios",2018-09-12,"COMPLETA","MADRID",3600,1200,"AGENTES COMERCIALES/REPRESENTANTES"
"16924","COMERCIAL/VENTAS","MADRID","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","MADRID",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16925","SALUD/DEPORTE","GALICIA","Otras Formaciones",2018-09-20,"PARCIAL","CORUÑA (A)",1090,518,"FISIOTERAPIA/DEPORTE/MANTENIMIENTO FISIC"
"16926","COMERCIAL/VENTAS","PAÍS VASCO","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","GUIPÚZCOA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16927","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP II, Ciclo de Grado Superior",2018-09-20,"COMPLETA","MADRID",30000,28000,"ANALISTAS/PROGRAMADORES"
"16928","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","MÁLAGA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16929","ADMINISTRACIÓN","GALICIA","Unknown",2018-09-20,"PARCIAL","CORUÑA (A)",500,400,"RECEPCIONISTAS"
"16930","COMERCIAL/VENTAS","CASTILLA Y LEÓN","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","SALAMANCA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16931","METAL/MECÁNICA","CANTABRIA","FP II, Ciclo de Grado Superior",2018-09-20,"COMPLETA","CANTABRIA",20000,17000,"MAQUINA HERRAMIENTA/TORNO/FRESA"
"16932","COMERCIAL/VENTAS","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CÓRDOBA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16933","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP II, Ciclo de Grado Superior",2018-09-20,"PARCIAL","PALMAS (LAS)",491,450,"ELECTRICIDAD"
"16934","CONDUCTORES/TRANSPORTE","EXTREMADURA","ESO, EGB, Graduado Escolar",2018-09-18,"COMPLETA","BADAJOZ",1000,800,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"16935","FÁBRICAS/INDUSTRIA","MADRID","Unknown",2018-09-14,"COMPLETA","MADRID",1160,1100,"PEONES/OPERARIOS/MANIPULADORES"
"16936","COMERCIAL/VENTAS","MADRID","Sin estudios",2018-09-13,"COMPLETA","MADRID",3600,1200,"AGENTES COMERCIALES/REPRESENTANTES"
"16937","EDUCACIÓN/SERVICIOS SOCIALES","CATALUÑA","Bachillerato",2018-09-20,"PARCIAL","TARRAGONA",1200,400,"ENSEÑANZA PRIMARIA Y SECUNDARIA"
"16938","METAL/MECÁNICA","LA RIOJA","FP I, Ciclo de Grado Medio",2018-09-20,"COMPLETA","RIOJA (LA)",1600,1200,"MAQUINA HERRAMIENTA/TORNO/FRESA"
"16939","METAL/MECÁNICA","CANTABRIA","FP I, Ciclo de Grado Medio",2018-09-20,"COMPLETA","CANTABRIA",17000,16000,"MAQUINA HERRAMIENTA/TORNO/FRESA"
"16940","ADMINISTRACIÓN","CASTILLA LA MANCHA","Unknown",2018-09-20,"COMPLETA","GUADALAJARA",23000,21000,"ADMINISTRATIVOS"
"16941","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","BARCELONA",1600,1200,"ELECTRICIDAD"
"16942","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-20,"INDIFERENTE","BARCELONA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16943","HOSTELERÍA/TURISMO","ANDALUCÍA","Estudios primarios",2018-09-20,"PARCIAL","SEVILLA",664,664,"CAMAREROS"
"16944","COMERCIAL/VENTAS","ANDALUCÍA","Estudios primarios",2018-09-20,"PARCIAL","SEVILLA",664,664,"VENDEDORES"
"16945","COMERCIAL/VENTAS","ARAGÓN","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","ZARAGOZA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16946","COMERCIAL/VENTAS","CASTILLA Y LEÓN","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","BURGOS",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16947","COMERCIAL/VENTAS","EXTREMADURA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","CÁCERES",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16948","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-20,"COMPLETA","BARCELONA",36000,30000,"AGENTES COMERCIALES/REPRESENTANTES"
"16949","ALMACENES/REPONEDORES","PAÍS VASCO","Sin estudios",2018-09-20,"INDIFERENTE","ÁLAVA",1000,1,"MOZOS DE ALMACÉN/CARRETILLEROS"
"16950","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","PAÍS VASCO","FP I, Ciclo de Grado Medio",2018-09-20,"COMPLETA","VIZCAYA",17000,13000,"FORESTAL/JARDINERÍA"
"16998","CONSTRUCCIÓN","MADRID","Unknown",2018-09-22,"COMPLETA","MADRID",1191,1190,"CARPINTERÍA"
"17254","METAL/MECÁNICA","MADRID","Unknown",2018-06-19,"COMPLETA","MADRID",1200,1000,"SOLDADURA/CALDERERÍA/CHAPA"
"17255","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-09-19,"COMPLETA","ALICANTE",1500,1200,"ADMINISTRATIVOS"
"17256","CONSTRUCCIÓN","CASTILLA Y LEÓN","FP I, Ciclo de Grado Medio",2018-09-19,"COMPLETA","VALLADOLID",1300,1050,"PINTURA"
"17257","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Licenciado o Ingeniero Superior",2018-09-19,"INDIFERENTE","BARCELONA",65000,40000,"SISTEMAS/SEGURIDAD/REDES"
"17258","CONSTRUCCIÓN","GALICIA","Sin estudios",2018-09-19,"COMPLETA","CORUÑA (A)",900,900,"PEONES"
"17260","CONSTRUCCIÓN","PAÍS VASCO","Unknown",2018-09-19,"COMPLETA","VIZCAYA",1600,1400,"PINTURA"
"17261","DIRECTIVOS","CASTILLA LA MANCHA","Licenciado o Ingeniero Superior",2018-09-19,"PARCIAL","CUENCA",900,800,"AREA DIRECTIVA"
"17262","HOSTELERÍA/TURISMO","ISLAS CANARIAS","Estudios primarios",2018-09-19,"COMPLETA","SANTA CRUZ DE TENERIFE",1100,1100,"CAMAREROS"
"17263","CONDUCTORES/TRANSPORTE","MADRID","Unknown",2018-09-19,"PARCIAL","MADRID",641,641,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"17264","CONSTRUCCIÓN","MADRID","Unknown",2018-09-19,"COMPLETA","MADRID",1500,1200,"FONTANERÍA"
"17265","ALMACENES/REPONEDORES","CATALUÑA","Unknown",2018-09-19,"COMPLETA","BARCELONA",1200,1000,"MOZOS DE ALMACÉN/CARRETILLEROS"
"17266","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","COMUNIDAD VALENCIANA","Otras Formaciones",2018-09-19,"COMPLETA","VALENCIA",1050,900,"COMUNICACIÓN/PUBLICIDAD/MARKETING"
"17267","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-19,"COMPLETA","BARCELONA",14000,12000,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"17268","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","MADRID","Unknown",2018-09-19,"COMPLETA","MADRID",21000,18000,"FORESTAL/JARDINERÍA"
"17269","HOSTELERÍA/TURISMO","GALICIA","Sin estudios",2018-09-19,"COMPLETA","OURENSE",900,900,"CAMAREROS"
"17270","DEPENDIENTES/INFORMACIÓN","PRINCIPADO DE ASTURIAS","ESO, EGB, Graduado Escolar",2018-09-19,"COMPLETA","ASTURIAS",712,712,"DEPENDIENTES"
"17271","FÁBRICAS/INDUSTRIA","Unknown","Sin estudios",2018-09-19,"COMPLETA","Unknown",1700,1000,"PEONES/OPERARIOS/MANIPULADORES"
"17272","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","FP II, Ciclo de Grado Superior",2018-09-19,"PARCIAL","MADRID",422,422,"ANIMACIÓN/TIEMPO LIBRE"
"17273","HOSTELERÍA/TURISMO","GALICIA","FP I, Ciclo de Grado Medio",2018-09-19,"PARCIAL","PONTEVEDRA",600,600,"CAMAREROS"
"17274","COMERCIAL/VENTAS","GALICIA","FP II, Ciclo de Grado Superior",2018-09-19,"PARCIAL","PONTEVEDRA",600,600,"AGENTES COMERCIALES/REPRESENTANTES"
"17275","FÁBRICAS/INDUSTRIA","NAVARRA","ESO, EGB, Graduado Escolar",2018-09-19,"COMPLETA","NAVARRA",17706,16333,"PEONES/OPERARIOS/MANIPULADORES"
"17276","CONSTRUCCIÓN","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-19,"COMPLETA","BARCELONA",1500,1100,"FONTANERÍA"
"17277","ADMINISTRACIÓN","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-19,"COMPLETA","BARCELONA",1200,1000,"ADMINISTRATIVOS"
"17278","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-19,"PARCIAL","TARRAGONA",600,500,"VENDEDORES"
"17279","CONDUCTORES/TRANSPORTE","MADRID","Unknown",2018-09-19,"PARCIAL","MADRID",641,641,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"17280","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-09-19,"COMPLETA","MADRID",16000,14000,"ADMINISTRATIVOS"
"17281","CONSTRUCCIÓN","CASTILLA LA MANCHA","Estudios primarios",2018-09-19,"COMPLETA","TOLEDO",1300,1000,"CARPINTERÍA"
"17282","CONSTRUCCIÓN","MADRID","Unknown",2018-09-14,"COMPLETA","MADRID",1300,1100,"CARPINTERÍA"
"17283","INGENIERÍA/CALIDAD/CIENCIAS","COMUNIDAD VALENCIANA","Diplomado o Ingeniero Técnico",2018-09-19,"COMPLETA","VALENCIA",50000,30000,"INGENIERÍAS"
"17284","INGENIERÍA/CALIDAD/CIENCIAS","COMUNIDAD VALENCIANA","Diplomado o Ingeniero Técnico",2018-09-19,"COMPLETA","VALENCIA",50000,30000,"INGENIERÍAS"
"17285","INFORMÁTICA/TELECOMUNICACIONES","MADRID","Diplomado o Ingeniero Técnico",2018-09-19,"COMPLETA","MADRID",22000,19000,"ERP/CRM/BUSSINESS INTELLIGENCE"
"17286","ADMINISTRACIÓN","MADRID","Estudios primarios",2018-09-19,"COMPLETA","MADRID",1000,800,"ADMINISTRATIVOS"
"17287","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","CATALUÑA","Licenciado o Ingeniero Superior",2018-09-19,"COMPLETA","BARCELONA",600,600,"COMUNICACIÓN/PUBLICIDAD/MARKETING"
"17288","CONDUCTORES/TRANSPORTE","CATALUÑA","FP I, Ciclo de Grado Medio",2018-09-19,"COMPLETA","LLEIDA",30000,20000,"MECÁNICA DEL AUTOMÓVIL"
"17289","CONDUCTORES/TRANSPORTE","GALICIA","Estudios primarios",2018-09-19,"COMPLETA","OURENSE",1300,1200,"REPARTO DE MERCANCÍAS"
"17290","CONDUCTORES/TRANSPORTE","MADRID","Estudios primarios",2018-09-19,"PARCIAL","MADRID",640,640,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"17291","FÁBRICAS/INDUSTRIA","COMUNIDAD VALENCIANA","Unknown",2018-09-19,"COMPLETA","ALICANTE",1000,500,"TEXTIL/CONFECCIÓN/CALZADO"
"17292","COMERCIAL/VENTAS","MADRID","Estudios primarios",2018-09-19,"COMPLETA","MADRID",1000,800,"AGENTES COMERCIALES/REPRESENTANTES"
"17293","CONSTRUCCIÓN","ANDALUCÍA","Certificados de Profesionalidad",2018-09-19,"COMPLETA","MÁLAGA",1200,1000,"ALBAÑILERIA/ACABADOS"
"17294","FÁBRICAS/INDUSTRIA","MADRID","FP II, Ciclo de Grado Superior",2018-09-19,"COMPLETA","MADRID",1200,1100,"PEONES/OPERARIOS/MANIPULADORES"
"17295","HOSTELERÍA/TURISMO","PRINCIPADO DE ASTURIAS","Unknown",2018-09-19,"COMPLETA","ASTURIAS",1000,800,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"17296","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","FP I, Ciclo de Grado Medio",2018-09-19,"PARCIAL","MADRID",281,281,"ANIMACIÓN/TIEMPO LIBRE"
"17297","INFORMÁTICA/TELECOMUNICACIONES","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-19,"COMPLETA","VALENCIA",1500,1000,"TELECOMUNICACIONES"
"17299","PELUQUERÍA/ESTÉTICA","GALICIA","FP II, Ciclo de Grado Superior",2018-09-19,"COMPLETA","CORUÑA (A)",840,740,"ESTÉTICA"
"17504","INFORMÁTICA/TELECOMUNICACIONES","REGIÓN DE MURCIA","FP II, Ciclo de Grado Superior",2018-09-18,"COMPLETA","MURCIA",16000,11000,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"17505","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","EXTREMADURA","Unknown",2018-09-18,"COMPLETA","CÁCERES",1200,1000,"AGRICULTURA/GANADERÍA"
"17506","PELUQUERÍA/ESTÉTICA","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-18,"COMPLETA","BARCELONA",15000,12000,"PELUQUERÍA"
"17507","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-09-18,"COMPLETA","CASTELLÓN",1200,1200,"ELECTRÓNICA"
"17508","COMERCIAL/VENTAS","MADRID","Bachillerato",2018-05-24,"COMPLETA","MADRID",24000,12000,"AGENTES COMERCIALES/REPRESENTANTES"
