"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"965","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Bachillerato",2018-10-31,"PARCIAL","SALAMANCA",7,7,"VENDEDORES"
"966","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","MÁLAGA",1200,900,"PERIODISMO E INFORMACIÓN"
"967","FÁBRICAS/INDUSTRIA","GALICIA","Sin estudios",2018-10-31,"COMPLETA","PONTEVEDRA",1500,1200,"PEONES/OPERARIOS/MANIPULADORES"
"968","ADMINISTRACIÓN","ARAGÓN","Unknown",2018-10-31,"PARCIAL","ZARAGOZA",520,520,"ADMINISTRATIVOS"
"969","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","PALMAS (LAS)",16000,14000,"ELECTRICIDAD"
"970","SALUD/DEPORTE","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-03-22,"PARCIAL","PALMAS (LAS)",1000,1000,"MEDICINA"
"972","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","LEÓN",1300,1300,"INGENIERÍAS"
"973","INFORMÁTICA/TELECOMUNICACIONES","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","SANTA CRUZ DE TENERIFE",15000,13000,"TELECOMUNICACIONES"
"974","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","SEVILLA",1500,1500,"ELECTRICIDAD"
"975","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Bachillerato",2018-10-31,"PARCIAL","SALAMANCA",7,7,"VENDEDORES"
"976","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","MÁLAGA",1200,900,"PERIODISMO E INFORMACIÓN"
